file	line	kind	name	ext_prod_files	ext_test_files	verdict
crates/core/src/engine/lifecycle.rs	29	fn	get_last_error	0	2	TEST-ONLY
crates/core/src/engine/lifecycle.rs	40	fn	cancel_request	1	3	USED
crates/core/src/engine/lifecycle.rs	59	fn	add_request	12	19	USED
crates/core/src/engine/draft_management.rs	29	fn	set_draft_loader	3	1	USED
crates/core/src/engine/draft_management.rs	43	fn	memory_budget	8	2	USED
crates/core/src/engine/draft_management.rs	48	fn	draft_registry	3	1	USED
crates/core/src/engine/draft_management.rs	58	fn	register_draft	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	71	fn	attach_draft	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	86	fn	attach_draft_budgeted	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	101	fn	unload_draft	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	111	fn	force_unload_draft	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	121	fn	increment_draft_ref	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	131	fn	decrement_draft_ref	0	1	TEST-ONLY
crates/core/src/engine/draft_management.rs	146	fn	enable_adaptive_speculative	5	4	USED
crates/core/src/engine/draft_management.rs	152	fn	disable_adaptive_speculative	0	2	TEST-ONLY
crates/core/src/engine/cuda_graph.rs	25	fn	capture_cuda_graphs	0	0	INTERNAL-ONLY
crates/core/src/engine/cuda_graph.rs	42	fn	capture_cuda_graphs	0	0	INTERNAL-ONLY
crates/core/src/engine/cuda_graph.rs	52	fn	cuda_graph_enabled	1	1	USED
crates/core/src/engine/cuda_graph.rs	60	fn	cuda_graph_enabled	1	1	USED
crates/core/src/engine/run.rs	28	fn	run	19	20	USED
crates/core/src/engine/run.rs	91	fn	has_pending	2	13	USED
crates/core/src/engine/graph_step.rs	40	fn	step_with_graph	2	0	USED
crates/core/src/engine/graph_step.rs	84	fn	step_with_graph	2	0	USED
crates/core/src/engine/beam.rs	20	fn	step_beam	0	0	TRULY-UNUSED
crates/core/src/engine/mod.rs	154	fn	next_interval	1	1	USED
crates/core/src/engine/ctor/mod.rs	41	fn	new_boxed	4	1	USED
crates/core/src/engine/ctor/mod.rs	62	fn	with_config_boxed	2	0	USED
crates/core/src/engine/ctor/mod.rs	111	fn	new	225	88	USED
crates/core/src/engine/ctor/mod.rs	125	fn	with_config	2	6	USED
crates/core/src/engine/ctor/drafts.rs	31	fn	with_drafts_boxed	4	1	USED
crates/core/src/engine/ctor/drafts.rs	61	fn	with_drafts	0	2	TEST-ONLY
crates/core/src/engine/ctor/drafts.rs	86	fn	with_budget_boxed	4	2	USED
crates/core/src/engine/ctor/builder.rs	70	fn	new	225	88	USED
crates/core/src/engine/ctor/builder.rs	85	fn	with_draft_model	1	2	USED
crates/core/src/engine/ctor/builder.rs	92	fn	with_config	2	6	USED
crates/core/src/engine/ctor/builder.rs	113	fn	with_adaptive_decoder	0	1	TEST-ONLY
crates/core/src/engine/ctor/builder.rs	120	fn	with_draft_resolver	0	1	TEST-ONLY
crates/core/src/engine/ctor/builder.rs	135	fn	build	30	8	USED
crates/core/src/error/recovery.rs	20	fn	from_error	0	0	INTERNAL-ONLY
crates/core/src/error/recovery.rs	72	fn	builder	45	9	USED
crates/core/src/error/recovery.rs	103	fn	new	225	88	USED
crates/core/src/error/recovery.rs	110	fn	get_or_create_circuit_breaker	0	0	INTERNAL-ONLY
crates/core/src/error/recovery.rs	117	fn	determine_action	0	0	INTERNAL-ONLY
crates/core/src/metrics/collector/metrics.rs	37	fn	parse	13	3	USED
crates/core/src/metrics/collector/sampler.rs	72	fn	new	225	88	USED
crates/core/src/metrics/collector/sampler.rs	100	fn	snapshot	15	5	USED
crates/core/src/metrics/collector/sampler.rs	104	fn	record_tokens	4	0	USED
crates/core/src/metrics/collector/sampler.rs	108	fn	record_batch_size	4	0	USED
crates/core/src/metrics/collector/sampler.rs	112	fn	record_latency	4	1	USED
crates/core/src/metrics/collector/sampler.rs	116	fn	record_kv_cache_usage	2	1	USED
crates/core/src/metrics/collector/sampler.rs	120	fn	record_prefix_cache_hit	1	1	USED
crates/core/src/metrics/collector/sampler.rs	124	fn	record_prefix_cache_request	1	1	USED
crates/core/src/metrics/collector/sampler.rs	128	fn	prefix_cache_hits	2	0	USED
crates/core/src/metrics/collector/sampler.rs	132	fn	prefix_cache_requests	2	0	USED
crates/core/src/metrics/collector/sampler.rs	137	fn	record_cuda_graph_hit	3	1	USED
crates/core/src/metrics/collector/sampler.rs	141	fn	record_cuda_graph_miss	2	0	USED
crates/core/src/metrics/collector/sampler.rs	146	fn	record_packing_sequence	0	0	TRULY-UNUSED
crates/core/src/metrics/collector/sampler.rs	151	fn	record_packing_efficiency	1	1	USED
crates/core/src/metrics/collector/sampler.rs	157	fn	record_packing_waste_ratio	0	0	TRULY-UNUSED
crates/core/src/metrics/collector/sampler.rs	168	fn	record_speculative_acceptance	0	1	TEST-ONLY
crates/core/src/metrics/collector/sampler.rs	176	fn	record_speculative_draft_count	0	0	TRULY-UNUSED
crates/core/src/metrics/collector/sampler.rs	180	fn	record_speculative_adjustment	1	0	USED
crates/core/src/metrics/collector/sampler.rs	185	fn	record_speculative_efficiency	1	1	USED
crates/core/src/metrics/collector/sampler.rs	191	fn	record_throughput_speedup	0	1	TEST-ONLY
crates/core/src/metrics/collector/sampler.rs	205	fn	record_per_request_acceptance	1	1	USED
crates/core/src/metrics/collector/sampler.rs	227	fn	get_per_request_acceptance_rate	0	0	TRULY-UNUSED
crates/core/src/metrics/collector/sampler.rs	241	fn	remove_per_request	2	0	USED
crates/core/src/metrics/collector/sampler.rs	248	fn	record_request	2	0	USED
crates/core/src/metrics/collector/sampler.rs	252	fn	record_error	0	0	TRULY-UNUSED
crates/core/src/metrics/collector/sampler.rs	256	fn	set_queue_depth	3	0	USED
crates/core/src/metrics/collector/sampler.rs	260	fn	set_active_sequences	2	0	USED
crates/core/src/metrics/collector/sampler.rs	264	fn	record_inference_latency	1	1	USED
crates/core/src/metrics/collector/sampler.rs	278	fn	inc_draft_resolution	1	2	USED
crates/core/src/metrics/collector/sampler.rs	296	fn	inc_draft_load_failure	1	3	USED
crates/core/src/metrics/collector/sampler.rs	302	fn	inc_draft_runtime_error	1	3	USED
crates/core/src/metrics/collector/sampler.rs	308	fn	draft_metrics_snapshot	1	4	USED
crates/core/src/metrics/collector/sampler.rs	323	fn	get_counter	3	2	USED
crates/core/src/metrics/collector/sampler.rs	335	fn	get_gauge	2	1	USED
crates/core/src/metrics/lock_free.rs	89	fn	with_capacity	26	2	USED
crates/core/src/metrics/lock_free.rs	116	fn	record_tokens	4	0	USED
crates/core/src/metrics/lock_free.rs	121	fn	record_request	2	0	USED
crates/core/src/metrics/lock_free.rs	128	fn	record_latency	4	1	USED
crates/core/src/metrics/lock_free.rs	133	fn	record_batch_size	4	0	USED
crates/core/src/metrics/lock_free.rs	139	fn	record_request_start	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	145	fn	record_request_end	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	151	fn	record_kv_cache_usage	2	1	USED
crates/core/src/metrics/lock_free.rs	158	fn	record_prefix_cache_hit	1	1	USED
crates/core/src/metrics/lock_free.rs	164	fn	record_prefix_cache_request	1	1	USED
crates/core/src/metrics/lock_free.rs	169	fn	record_prefill_tokens	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	174	fn	record_decode_tokens	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	180	fn	record_scheduler_wait_time	0	1	TEST-ONLY
crates/core/src/metrics/lock_free.rs	186	fn	requests_total	5	1	USED
crates/core/src/metrics/lock_free.rs	192	fn	prefix_cache_hits	2	0	USED
crates/core/src/metrics/lock_free.rs	198	fn	prefix_cache_requests	2	0	USED
crates/core/src/metrics/lock_free.rs	210	fn	snapshot	15	5	USED
crates/core/src/metrics/lock_free.rs	318	fn	new	225	88	USED
crates/core/src/metrics/types.rs	18	fn	name	45	15	USED
crates/core/src/metrics/types.rs	48	fn	increment	5	2	USED
crates/core/src/metrics/types.rs	56	fn	set	32	9	USED
crates/core/src/metrics/types.rs	64	fn	as_u64	5	0	USED
crates/core/src/metrics/types.rs	81	fn	new	225	88	USED
crates/core/src/metrics/types.rs	86	fn	with	147	52	USED
crates/core/src/metrics/types.rs	92	fn	as_slice	5	0	USED
crates/core/src/metrics/exporter/mod.rs	44	fn	record	8	7	USED
crates/core/src/metrics/exporter/mod.rs	57	fn	snapshot	15	5	USED
crates/core/src/metrics/exporter/mod.rs	92	fn	default_arc	9	3	USED
crates/core/src/scheduler/memory/allocator.rs	51	fn	new	225	88	USED
crates/core/src/scheduler/memory/allocator.rs	79	fn	allocate	9	5	USED
crates/core/src/scheduler/memory/allocator.rs	127	fn	free	16	5	USED
crates/core/src/scheduler/memory/allocator.rs	171	fn	stats	9	3	USED
crates/core/src/scheduler/memory/eviction.rs	42	fn	new	225	88	USED
crates/core/src/scheduler/memory/eviction.rs	51	fn	select_victims	2	3	USED
crates/core/src/scheduler/memory/eviction.rs	145	fn	invalidate_cache	0	0	INTERNAL-ONLY
crates/core/src/scheduler/memory/eviction.rs	149	fn	record_blocks	2	1	USED
crates/core/src/scheduler/memory/eviction.rs	158	fn	release_blocks	4	2	USED
crates/core/src/scheduler/memory/eviction.rs	170	fn	touch_blocks	1	1	USED
crates/core/src/scheduler/memory/eviction.rs	178	fn	get_block_ref_count	1	1	USED
crates/core/src/scheduler/memory/eviction.rs	183	fn	stats	9	3	USED
crates/core/src/scheduler/memory/mod.rs	34	fn	new	225	88	USED
crates/core/src/scheduler/memory/mod.rs	44	fn	allocate	9	5	USED
crates/core/src/scheduler/memory/mod.rs	50	fn	free	16	5	USED
crates/core/src/scheduler/memory/mod.rs	55	fn	release_blocks	4	2	USED
crates/core/src/scheduler/memory/mod.rs	62	fn	select_victims	2	3	USED
crates/core/src/scheduler/memory/mod.rs	83	fn	record_blocks	2	1	USED
crates/core/src/scheduler/memory/mod.rs	88	fn	touch_blocks	1	1	USED
crates/core/src/scheduler/memory/mod.rs	106	fn	allocator_stats	0	0	TRULY-UNUSED
crates/core/src/scheduler/memory/mod.rs	112	fn	should_preempt	1	1	USED
crates/core/src/scheduler/memory/mod.rs	129	fn	execute_preemption	2	0	USED
crates/core/src/scheduler/memory/mod.rs	184	fn	rollback	2	1	USED
crates/core/src/scheduler/policy/trait_def.rs	39	fn	default_arc	9	3	USED
crates/core/src/scheduler/radix_cache/node.rs	25	fn	new	225	88	USED
crates/core/src/scheduler/radix_cache/node.rs	35	fn	with_tokens	0	0	TRULY-UNUSED
crates/core/src/scheduler/radix_cache/tree.rs	27	fn	new	225	88	USED
crates/core/src/scheduler/radix_cache/tree.rs	36	fn	longest_prefix_match	4	1	USED
crates/core/src/scheduler/radix_cache/tree.rs	60	fn	insert	32	5	USED
crates/core/src/scheduler/radix_cache/tree.rs	91	fn	clear	6	1	USED
crates/core/src/scheduler/cuda_graph.rs	20	fn	into_regular	0	1	TEST-ONLY
crates/core/src/scheduler/cuda_graph.rs	63	fn	into_batch	0	0	INTERNAL-ONLY
crates/core/src/scheduler/cuda_graph.rs	89	fn	supports_batch_size	2	1	USED
crates/core/src/scheduler/cuda_graph.rs	96	fn	builder	45	9	USED
crates/core/src/scheduler/cuda_graph.rs	116	fn	with_batch_sizes	0	0	TRULY-UNUSED
crates/core/src/scheduler/cuda_graph.rs	122	fn	build	30	8	USED
crates/core/src/scheduler/stats.rs	41	fn	new	225	88	USED
crates/core/src/scheduler/stats.rs	58	fn	record_batch	0	0	TRULY-UNUSED
crates/core/src/scheduler/engine/graph.rs	17	fn	build_batch_with_graph	2	1	USED
crates/core/src/scheduler/engine/update.rs	24	fn	update	12	11	USED
crates/core/src/scheduler/engine/memory.rs	79	fn	memory_rollback	1	0	USED
crates/core/src/scheduler/engine/memory.rs	86	fn	cancel_request	1	3	USED
crates/core/src/scheduler/engine/state/mod.rs	81	fn	new	225	88	USED
crates/core/src/scheduler/engine/state/mod.rs	125	fn	set_policy	1	1	USED
crates/core/src/scheduler/engine/state/mod.rs	131	fn	schedule	4	0	USED
crates/core/src/scheduler/engine/state/mod.rs	149	fn	has_pending	2	13	USED
crates/core/src/scheduler/engine/state/mod.rs	161	fn	waiting_count	5	4	USED
crates/core/src/scheduler/engine/state/mod.rs	169	fn	prefix_cache_hit_rate	3	1	USED
crates/core/src/scheduler/engine/state/mod.rs	180	fn	running	27	15	USED
crates/core/src/scheduler/engine/state/mod.rs	188	fn	get_sequence	2	1	USED
crates/core/src/scheduler/engine/state/mod.rs	195	fn	get_sequence_mut	1	1	USED
crates/core/src/scheduler/engine/state/mod.rs	200	fn	finished_sequences	3	2	USED
crates/core/src/scheduler/engine/state/mod.rs	205	fn	clear_finished	3	0	USED
crates/core/src/scheduler/engine/state/mod.rs	213	fn	register_observer	0	1	TEST-ONLY
crates/core/src/scheduler/engine/state/request.rs	20	fn	add_request	12	19	USED
crates/core/src/scheduler/engine/state/batch.rs	20	fn	build_batch	9	10	USED
crates/core/src/scheduler/batch_composer/validate.rs	37	fn	builder	45	9	USED
crates/core/src/scheduler/batch_composer/validate.rs	99	fn	builder	45	9	USED
crates/core/src/scheduler/batch_composer/validate.rs	141	fn	calculate_chunk_size	1	1	USED
crates/core/src/scheduler/batch_composer/compose.rs	27	fn	new	225	88	USED
crates/core/src/scheduler/batch_composer/compose.rs	37	fn	with_packing	2	0	USED
crates/core/src/scheduler/batch_composer/compose.rs	50	fn	with_chunked_prefill	0	1	TEST-ONLY
crates/core/src/scheduler/batch_composer/compose.rs	63	fn	compose	4	4	USED
crates/core/src/scheduler/batch_composer/compose.rs	75	fn	compose_with_chunking	0	1	TEST-ONLY
crates/core/src/scheduler/batch.rs	96	fn	step	43	27	USED
crates/core/src/scheduler/packing.rs	61	fn	pack_sequences	0	2	TEST-ONLY
crates/core/src/scheduler/phase_scheduler.rs	33	fn	builder	45	9	USED
crates/core/src/scheduler/phase_scheduler.rs	102	fn	select_phase	3	0	USED
crates/core/src/scheduler/preemption.rs	38	fn	should_preempt	1	1	USED
crates/core/src/scheduler/preemption.rs	87	fn	select_victim	0	1	TEST-ONLY
crates/core/src/scheduler/request_queue.rs	54	fn	new	225	88	USED
crates/core/src/scheduler/request_queue.rs	66	fn	enqueue	6	1	USED
crates/core/src/scheduler/request_queue.rs	102	fn	dequeue	1	1	USED
crates/core/src/scheduler/request_queue.rs	119	fn	get	60	16	USED
crates/core/src/scheduler/request_queue.rs	124	fn	get_mut	8	1	USED
crates/core/src/scheduler/request_queue.rs	130	fn	remove	18	5	USED
crates/core/src/scheduler/request_queue.rs	146	fn	drain_by_phase	2	1	USED
crates/core/src/scheduler/request_queue.rs	168	fn	len	105	47	USED
crates/core/src/scheduler/request_queue.rs	174	fn	is_empty	50	32	USED
crates/core/src/scheduler/request_queue.rs	180	fn	phase_len	3	1	USED
crates/core/src/scheduler/observer.rs	54	fn	default_arc	9	3	USED
crates/core/src/scheduler/observer.rs	103	fn	new	225	88	USED
crates/core/src/scheduler/observer.rs	110	const	MAX_OBSERVERS	0	0	INTERNAL-ONLY
crates/core/src/scheduler/observer.rs	116	fn	register	29	6	USED
crates/core/src/scheduler/observer.rs	134	fn	dispatch	16	4	USED
crates/core/src/speculative/model.rs	32	fn	new	225	88	USED
crates/core/src/speculative/model.rs	50	fn	verifier	5	2	USED
crates/core/src/speculative/model.rs	54	fn	mut_verifier	0	0	TRULY-UNUSED
crates/core/src/speculative/registry/types.rs	23	fn	as_str	26	6	USED
crates/core/src/speculative/registry/types.rs	76	fn	new	225	88	USED
crates/core/src/speculative/registry/types.rs	90	fn	with_arch_hint	1	1	USED
crates/core/src/speculative/registry/errors.rs	81	fn	load_failed	0	0	TRULY-UNUSED
crates/core/src/speculative/registry/errors.rs	92	fn	io_load	0	0	INTERNAL-ONLY
crates/core/src/speculative/registry/mod.rs	69	fn	new	225	88	USED
crates/core/src/speculative/registry/mod.rs	78	fn	with_budget	2	2	USED
crates/core/src/speculative/registry/loader.rs	31	fn	register	29	6	USED
crates/core/src/speculative/registry/loader.rs	59	fn	attach_loaded	4	2	USED
crates/core/src/speculative/registry/loader.rs	107	fn	attach_loaded_budgeted	3	1	USED
crates/core/src/speculative/registry/lifecycle.rs	38	fn	unload	5	3	USED
crates/core/src/speculative/registry/lifecycle.rs	76	fn	force_unload	1	2	USED
crates/core/src/speculative/registry/lifecycle.rs	117	fn	increment_ref	1	2	USED
crates/core/src/speculative/registry/lifecycle.rs	147	fn	decrement_ref	2	2	USED
crates/core/src/speculative/registry/lifecycle.rs	184	fn	ref_count	1	2	USED
crates/core/src/speculative/registry/lifecycle.rs	203	fn	get_loaded_backend	1	1	USED
crates/core/src/speculative/registry/lifecycle.rs	222	fn	lookup	20	4	USED
crates/core/src/speculative/registry/lifecycle.rs	243	fn	contains	24	18	USED
crates/core/src/speculative/registry/lifecycle.rs	256	fn	is_loaded	1	3	USED
crates/core/src/speculative/registry/lifecycle.rs	279	fn	draft_allocated_bytes	0	1	TEST-ONLY
crates/core/src/speculative/registry/lifecycle.rs	301	fn	draft_reserved_bytes	0	1	TEST-ONLY
crates/core/src/speculative/registry/lifecycle.rs	317	fn	ids	11	3	USED
crates/core/src/speculative/registry/lifecycle.rs	333	fn	len	105	47	USED
crates/core/src/speculative/registry/lifecycle.rs	343	fn	is_empty	50	32	USED
crates/core/src/speculative/adaptive.rs	31	fn	new	225	88	USED
crates/core/src/speculative/adaptive.rs	42	fn	with_alpha	0	1	TEST-ONLY
crates/core/src/speculative/adaptive.rs	52	fn	record	8	7	USED
crates/core/src/speculative/adaptive.rs	73	fn	acceptance_rate	1	1	USED
crates/core/src/speculative/adaptive.rs	83	fn	acceptance_rate_ewma	0	1	TEST-ONLY
crates/core/src/speculative/adaptive.rs	88	fn	reset	4	1	USED
crates/core/src/speculative/adaptive.rs	95	fn	len	105	47	USED
crates/core/src/speculative/adaptive.rs	101	fn	is_empty	50	32	USED
crates/core/src/speculative/adaptive.rs	124	fn	new	225	88	USED
crates/core/src/speculative/adaptive.rs	151	fn	record_verification	1	1	USED
crates/core/src/speculative/adaptive.rs	228	fn	reset	4	1	USED
crates/core/src/speculative/config.rs	47	fn	builder	45	9	USED
crates/core/src/speculative/config.rs	52	fn	from_env	2	1	USED
crates/core/src/speculative/config.rs	125	fn	target_model	10	2	USED
crates/core/src/speculative/config.rs	143	fn	build	30	8	USED
crates/core/src/speculative/self_spec.rs	24	fn	new	225	88	USED
crates/core/src/speculative/self_spec.rs	64	fn	clear_draft_kv	0	0	TRULY-UNUSED
crates/core/src/speculative/self_spec.rs	68	fn	remove_draft_seq	0	0	INTERNAL-ONLY
crates/core/src/speculative/strategy.rs	24	fn	new_block_level	1	0	USED
crates/core/src/speculative/strategy.rs	31	fn	should_accept	0	0	INTERNAL-ONLY
crates/core/src/speculative/draft_resolver.rs	98	fn	default_arc	9	3	USED
crates/core/src/speculative/draft_resolver.rs	125	fn	new	225	88	USED
crates/core/src/speculative/draft_resolver.rs	141	fn	resolve	9	3	USED
crates/core/src/speculative/draft_resolver.rs	227	fn	self_spec	5	5	USED
crates/core/src/speculative/memory_budget.rs	79	fn	unlimited	4	1	USED
crates/core/src/speculative/memory_budget.rs	106	fn	snapshot	15	5	USED
crates/core/src/speculative/memory_budget.rs	126	fn	reserve_target	0	0	INTERNAL-ONLY
crates/core/src/speculative/memory_budget.rs	146	fn	release_target	0	0	INTERNAL-ONLY
crates/core/src/speculative/memory_budget.rs	158	fn	try_reserve_draft	1	0	USED
crates/core/src/speculative/memory_budget.rs	182	fn	release_draft	2	0	USED
crates/core/src/speculative/memory_budget.rs	192	fn	record_draft_kv_growth	0	0	INTERNAL-ONLY
crates/core/src/speculative/memory_budget.rs	212	fn	total_bytes	0	3	TEST-ONLY
crates/core/src/speculative/verifier.rs	60	fn	acceptance_rate	1	1	USED
crates/core/src/speculative/verifier.rs	130	fn	default_arc	9	3	USED
crates/core/src/beam.rs	27	fn	new	225	88	USED
crates/core/src/beam.rs	39	fn	push	63	14	USED
crates/core/src/circuit_breaker/strategy.rs	68	fn	builder	45	9	USED
crates/core/src/circuit_breaker/strategy.rs	181	fn	execute	7	3	USED
crates/core/src/circuit_breaker/breaker.rs	48	fn	builder	45	9	USED
crates/core/src/circuit_breaker/breaker.rs	109	fn	new	225	88	USED
crates/core/src/ha/failover.rs	41	fn	new	225	88	USED
crates/core/src/ha/failover.rs	49	fn	leader_election	1	0	USED
crates/core/src/ha/leader_election.rs	32	fn	new	225	88	USED
crates/core/src/routing/hash_router.rs	36	fn	new	225	88	USED
crates/core/src/types/adaptive_draft.rs	43	fn	builder	45	9	USED
crates/core/src/types/sequence_packing.rs	31	fn	builder	45	9	USED
crates/core/src/types/sequence_packing.rs	73	fn	from_env	2	1	USED
crates/core/src/types/scheduler_config.rs	56	fn	new	225	88	USED
crates/core/src/types/scheduler_config.rs	129	fn	builder	45	9	USED
crates/core/src/types/scheduler_config.rs	205	fn	with_cuda_graph	0	0	TRULY-UNUSED
crates/core/src/types/scheduler_config.rs	217	fn	build	30	8	USED
crates/core/src/types/sampling.rs	48	fn	builder	45	9	USED
crates/core/src/types/request.rs	51	fn	new	225	88	USED
crates/core/src/types/request.rs	72	fn	with_draft_model	1	2	USED
crates/dist/src/distributed_kv/protocol.rs	69	fn	new	225	88	USED
crates/dist/src/distributed_kv/protocol.rs	91	fn	read_request	0	0	INTERNAL-ONLY
crates/dist/src/distributed_kv/protocol.rs	103	fn	invalidate	3	1	USED
crates/dist/src/distributed_kv/protocol.rs	115	fn	update	12	11	USED
crates/dist/src/distributed_kv/mod.rs	62	fn	new	225	88	USED
crates/dist/src/distributed_kv/cache.rs	55	fn	new	225	88	USED
crates/dist/src/distributed_kv/cache.rs	68	fn	get	60	16	USED
crates/dist/src/distributed_kv/cache.rs	96	fn	put	1	0	USED
crates/dist/src/distributed_kv/cache.rs	132	fn	invalidate	3	1	USED
crates/dist/src/distributed_kv/cache.rs	149	fn	handle_message	0	0	INTERNAL-ONLY
crates/dist/src/distributed_kv/cache.rs	192	fn	stats	9	3	USED
crates/dist/src/distributed_kv/cache.rs	216	fn	memory_usage	0	0	TRULY-UNUSED
crates/dist/src/generated/vllm.distributed.rs	70	struct	NodeServiceClient	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	91	fn	new	225	88	USED
crates/dist/src/generated/vllm.distributed.rs	95	fn	with_origin	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	99	fn	with_interceptor	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	123	fn	send_compressed	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	129	fn	accept_compressed	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	137	fn	max_decoding_message_size	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	145	fn	max_encoding_message_size	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	256	trait	NodeService	1	0	USED
crates/dist/src/generated/vllm.distributed.rs	284	struct	NodeServiceServer	1	0	USED
crates/dist/src/generated/vllm.distributed.rs	292	fn	new	225	88	USED
crates/dist/src/generated/vllm.distributed.rs	295	fn	from_arc	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	304	fn	with_interceptor	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	315	fn	accept_compressed	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	321	fn	send_compressed	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	329	fn	max_decoding_message_size	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	337	fn	max_encoding_message_size	0	0	INTERNAL-ONLY
crates/dist/src/generated/vllm.distributed.rs	570	const	SERVICE_NAME	0	0	INTERNAL-ONLY
crates/dist/src/pipeline/pipeline.rs	48	fn	new	225	88	USED
crates/dist/src/pipeline/pipeline.rs	58	fn	add_stage	0	0	INTERNAL-ONLY
crates/dist/src/pipeline/pipeline.rs	66	fn	num_stages	1	0	USED
crates/dist/src/pipeline/pipeline.rs	81	fn	is_pipeline_parallel	0	0	INTERNAL-ONLY
crates/dist/src/pipeline/pipeline.rs	99	fn	forward	75	32	USED
crates/dist/src/pipeline/pipeline.rs	139	fn	forward_microbatches	1	0	USED
crates/dist/src/pipeline/pipeline.rs	171	fn	forward_with_schedule	0	0	TRULY-UNUSED
crates/dist/src/pipeline/stage.rs	28	fn	new	225	88	USED
crates/dist/src/pipeline/stage.rs	149	fn	default_arc	9	3	USED
crates/dist/src/tensor_parallel/all_reduce.rs	123	fn	default_arc	9	3	USED
crates/dist/src/tensor_parallel/device_mesh.rs	24	fn	new	225	88	USED
crates/dist/src/tensor_parallel/device_mesh.rs	57	fn	local_device_id	0	0	INTERNAL-ONLY
crates/dist/src/tensor_parallel/device_mesh.rs	84	fn	new	225	88	USED
crates/dist/src/tensor_parallel/device_mesh.rs	129	fn	local_mesh	0	0	TRULY-UNUSED
crates/dist/src/tensor_parallel/device_mesh.rs	134	fn	peers	2	0	USED
crates/dist/src/tensor_parallel/parallel_linear.rs	23	fn	new	225	88	USED
crates/dist/src/tensor_parallel/parallel_linear.rs	38	fn	output_size_per_rank	0	0	INTERNAL-ONLY
crates/dist/src/tensor_parallel/parallel_linear.rs	46	fn	forward	75	32	USED
crates/dist/src/tensor_parallel/parallel_linear.rs	83	fn	new	225	88	USED
crates/dist/src/tensor_parallel/parallel_linear.rs	101	fn	input_size_per_rank	0	0	INTERNAL-ONLY
crates/dist/src/tensor_parallel/parallel_linear.rs	115	fn	forward	75	32	USED
crates/dist/src/tensor_parallel/parallel_linear.rs	162	fn	new	225	88	USED
